NOME DO ARQUIVO,TAMANHO ORIGINAL (KB),PNG - TAMANHO COMPRIMIDO (KB),COMPRESSAO PNG,JPEG - TAMANHO COMPRIMIDO (KB),COMPRESSAO JPEG,PCA-950 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-950,PCA-975 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-975,PCA-990 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-990,MSE PNG,PSNR PNG,MSE JPEG,PSNR JPEG,MSE PCA-950,PSNR PCA-950,MSE PCA-975,PSNR PCA-975,MSE PCA-990,PSNR PCA-990
lung-512x512/64752f46_1-52.dcm,525.71,112.65,78.57,23.9,95.45,84.77,83.88,142.11,72.97,240.41,54.27,0,inf,6,40.35,37.02,32.45,28.12,33.64,17.4,35.73
lung-512x512/e3dba963_1-52.dcm,526.29,98.21,81.34,17.93,96.59,64.29,87.79,117.53,77.67,203.55,61.32,0,inf,3.78,42.36,26.43,33.91,19.72,35.18,12.11,37.3
lung-512x512/affb35d8_1-093.dcm,526.22,87.48,83.38,16.19,96.92,80.67,84.67,125.73,76.11,195.36,62.88,0,inf,2.3,44.51,22.66,34.58,17.91,35.6,10.68,37.85
lung-512x512/d93436b0_1-085.dcm,526.21,101.12,80.78,21.41,95.93,68.38,87,117.53,77.66,195.36,62.87,0,inf,3.67,42.48,29.15,33.48,22.83,34.55,14.39,36.55
lung-512x512/8db917db_1-090.dcm,525.72,79.14,84.95,13.24,97.48,88.86,83.1,150.3,71.41,240.41,54.27,0,inf,2.02,45.08,15.87,36.13,10.76,37.81,6.18,40.22
lung-512x512/9914d963_1-050.dcm,526.21,81.36,84.54,15.5,97.05,76.57,85.45,117.53,77.66,191.26,63.65,0,inf,1.93,45.28,21.78,34.75,15.99,36.09,8.98,38.6
lung-512x512/22ea7323_1-007.dcm,526.22,70.81,86.54,13.3,97.47,60.19,88.56,97.05,81.56,158.49,69.88,0,inf,1.47,46.46,21.74,34.76,15.98,36.1,9.34,38.43
lung-512x512/1b7486f7_1-062.dcm,526.2,81.16,84.58,13.45,97.44,92.96,82.33,154.4,70.66,252.7,51.98,0,inf,1.88,45.39,13.88,36.71,9.44,38.38,4.75,41.36
lung-512x512/4557678f_1-134.dcm,526.19,70.65,86.57,9.89,98.12,52,90.12,88.86,83.11,150.3,71.44,0,inf,1.17,47.45,10.67,37.85,7.42,39.43,4.15,41.95
lung-512x512/1a282755_1-100.dcm,526.22,96.07,81.74,19.5,96.29,68.38,87.01,113.44,78.44,195.36,62.88,0,inf,3.07,43.26,27.2,33.79,20.92,34.93,13.09,36.96
lung-512x512/a7bebfa5_1-097.dcm,526.23,78.05,85.17,13.06,97.52,35.61,93.23,68.38,87.01,129.82,75.33,0,inf,1.74,45.73,20.13,35.09,14.36,36.56,8.67,38.75
lung-512x512/46dfd42b_1-047.dcm,526.22,77.86,85.2,15.37,97.08,76.57,85.45,121.63,76.89,195.36,62.88,0,inf,1.78,45.63,24.57,34.23,17.54,35.69,10.15,38.07
lung-512x512/e348fdb2_1-011.dcm,525.74,64.1,87.81,10.87,97.93,60.19,88.55,101.15,80.76,162.59,69.07,0,inf,1.1,47.72,13.34,36.88,8.58,38.8,4.67,41.44
lung-512x512/4e838667_1-091.dcm,526.19,93.6,82.21,13.59,97.42,52,90.12,92.96,82.33,166.69,68.32,0,inf,2.79,43.67,20.76,34.96,15.85,36.13,9.49,38.36
lung-512x512/6ee1b8f2_1-003.dcm,526.19,76.98,85.37,12.27,97.67,60.19,88.56,105.25,80,174.88,66.77,0,inf,1.55,46.23,14.6,36.49,9.9,38.17,5.12,41.04
lung-512x512/35067140_1-016.dcm,526.22,67.1,87.25,11.18,97.87,52,90.12,88.86,83.11,150.3,71.44,0,inf,1.15,47.52,12.33,37.22,9.02,38.58,4.74,41.37
lung-512x512/5b3fbd02_1-118.dcm,526.2,83.5,84.13,14.96,97.16,27.42,94.79,60.19,88.56,121.63,76.89,0,inf,2.21,44.69,23.82,34.36,16.89,35.85,11.19,37.64
lung-512x512/d3fb4272_1-019.dcm,525.73,76.62,85.43,13.87,97.36,52,90.11,88.86,83.1,154.4,70.63,0,inf,1.56,46.2,20.43,35.03,14.42,36.54,8.11,39.04
