NOME DO ARQUIVO,TAMANHO ORIGINAL (KB),PNG - TAMANHO COMPRIMIDO (KB),COMPRESSAO PNG,JPEG - TAMANHO COMPRIMIDO (KB),COMPRESSAO JPEG,PCA-950 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-950,PCA-975 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-975,PCA-990 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-990
lung-512x512/64752f46_1-52.dcm,525.71,112.65,78.57,23.90,95.45,84.77,83.88,142.11,72.97,240.41,54.27
lung-512x512/e3dba963_1-52.dcm,526.29,98.21,81.34,17.93,96.59,64.29,87.79,117.53,77.67,203.55,61.32
lung-512x512/affb35d8_1-093.dcm,526.22,87.48,83.38,16.19,96.92,80.67,84.67,125.73,76.11,195.36,62.88
lung-512x512/d93436b0_1-085.dcm,526.21,101.12,80.78,21.41,95.93,68.38,87.0,117.53,77.66,195.36,62.87
lung-512x512/8db917db_1-090.dcm,525.72,79.14,84.95,13.24,97.48,88.86,83.1,150.30,71.41,240.41,54.27
lung-512x512/9914d963_1-050.dcm,526.21,81.36,84.54,15.50,97.05,76.57,85.45,117.53,77.66,191.26,63.65
lung-512x512/22ea7323_1-007.dcm,526.22,70.81,86.54,13.30,97.47,60.19,88.56,97.05,81.56,158.49,69.88
lung-512x512/1b7486f7_1-062.dcm,526.20,81.16,84.58,13.45,97.44,92.96,82.33,154.40,70.66,252.70,51.98
lung-512x512/4557678f_1-134.dcm,526.19,70.65,86.57,9.89,98.12,52.00,90.12,88.86,83.11,150.30,71.44
lung-512x512/1a282755_1-100.dcm,526.22,96.07,81.74,19.50,96.29,68.38,87.01,113.44,78.44,195.36,62.88
lung-512x512/a7bebfa5_1-097.dcm,526.23,78.05,85.17,13.06,97.52,35.61,93.23,68.38,87.01,129.82,75.33
lung-512x512/46dfd42b_1-047.dcm,526.22,77.86,85.2,15.37,97.08,76.57,85.45,121.63,76.89,195.36,62.88
lung-512x512/e348fdb2_1-011.dcm,525.74,64.10,87.81,10.87,97.93,60.19,88.55,101.15,80.76,162.59,69.07
lung-512x512/4e838667_1-091.dcm,526.19,93.60,82.21,13.59,97.42,52.00,90.12,92.96,82.33,166.69,68.32
lung-512x512/6ee1b8f2_1-003.dcm,526.19,76.98,85.37,12.27,97.67,60.19,88.56,105.25,80.0,174.88,66.77
lung-512x512/35067140_1-016.dcm,526.22,67.10,87.25,11.18,97.87,52.00,90.12,88.86,83.11,150.30,71.44
lung-512x512/5b3fbd02_1-118.dcm,526.20,83.50,84.13,14.96,97.16,27.42,94.79,60.19,88.56,121.63,76.89
lung-512x512/d3fb4272_1-019.dcm,525.73,76.62,85.43,13.87,97.36,52.00,90.11,88.86,83.1,154.40,70.63
lung-512x512/dc2f03b4_1-002.dcm,526.22,83.05,84.22,15.29,97.09,47.90,90.9,92.96,82.33,162.59,69.1
lung-512x512/986ab53b_1-052.dcm,525.72,81.81,84.44,14.51,97.24,60.19,88.55,101.15,80.76,166.69,68.29
lung-512x512/93cfcbb1_1-085.dcm,526.22,86.35,83.59,16.15,96.93,88.86,83.11,138.01,73.77,211.74,59.76
